match_id,elapsed_time,set_no,p1_games,p2_games,set_victor,game_no,game_victor,point_no,point_victor,server,speed_mph,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,p1_sets,p2_sets,p1_score,p2_score,comprehensive_momentum_1,comprehensive_momentum_2
2018-ausopen-XD108,,1,5,2,0,1,0,1,1,1,207,,15,0,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,7,6,0,0,0.0,0.0
2018-ausopen-XD108,,1,5,2,0,1,0,2,1,1,199,,30,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,7,6,15,0,0.0246,-0.02
2018-ausopen-XD108,,1,5,2,0,1,0,3,2,1,154,,30,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,7,6,15,15,0.09932184,-0.07880799999999999
2018-ausopen-XD108,,1,5,2,0,1,0,4,2,1,165,,30,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,7,6,15,30,0.20056748123327994,-0.15198145913599997
2018-ausopen-XD108,,1,5,2,0,1,0,5,2,1,172,,30,40,,,,,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,7,6,15,40,0.28306230182097497,-0.21463469881738748
2018-ausopen-XD108,,1,5,2,0,1,0,6,1,1,184,,40,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,7,6,30,40,0.3297698397420578,-0.24337557117594077
2018-ausopen-XD108,,1,5,3,0,1,2,7,2,1,192,,0,0,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,7,6,0,0,0.3669499595435243,-0.26036794255063117
2018-ausopen-XD108,,1,5,3,0,2,0,8,2,2,178,,0,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,0,15,0.37686893425815704,-0.24491209516039794
2018-ausopen-XD108,,1,5,3,0,2,0,9,1,2,204,,15,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,7,6,15,15,0.3281369091569824,-0.16874458981491242
2018-ausopen-XD108,,1,5,3,0,2,0,10,2,2,161,,15,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,7,6,15,30,0.25914395410166813,-0.059903610889779337
2018-ausopen-XD108,,1,5,3,0,2,0,11,1,2,133,,30,30,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,10,,,,7,6,30,30,0.1662641905065918,0.10455183348276302
2018-ausopen-XD108,,1,5,3,0,2,0,12,2,2,175,,30,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,30,40,-0.19076996252990933,0.49313844601487544
2018-ausopen-XD108,,1,5,3,0,2,0,13,1,2,138,,40,40,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,7,6,40,40,-0.7874609004568718,1.1119879335934986
2018-ausopen-XD108,,1,5,3,0,2,0,14,2,2,200,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,40,A,-1.0936467018189187,1.5119800476867507
2018-ausopen-XD108,,1,5,3,0,3,0,15,1,1,130,,15,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,7,6,A,A,-1.1620957385953057,1.729781623862279
2018-ausopen-XD108,,1,5,3,0,3,0,16,2,1,136,,15,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,7,6,A,A,-0.9913310709387563,1.7828574310519916
2018-ausopen-XD108,,1,5,3,0,3,0,17,1,1,166,,30,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,A,A,-1.1138680583184988,2.1156883195962
2018-ausopen-XD108,,1,5,3,0,3,0,18,2,1,177,,30,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,7,6,A,A,-0.978619005521521,1.8675550846872824
2018-ausopen-XD108,,1,5,4,0,3,0,19,2,1,167,,30,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,7,6,0,0,-0.6789840631880578,1.4391559940849965
2018-ausopen-XD108,,1,5,4,0,3,0,20,1,1,160,,40,40,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,7,6,15,0,-0.6681976463098213,1.359668391171684
2018-ausopen-XD108,,1,5,4,0,3,0,21,1,1,130,,0,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,7,6,30,0,-0.47484734450528043,1.068767271020572
2018-ausopen-XD108,,1,5,4,0,4,0,22,2,2,176,,0,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,30,15,-0.4953351550634149,1.0546458713080233
2018-ausopen-XD108,,1,5,4,0,4,0,23,1,2,152,,15,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,7,6,40,15,-0.31208390105727124,0.8265795170846448
2018-ausopen-XD108,,1,5,4,0,4,0,24,2,2,164,,15,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,40,30,-0.35200993195234037,0.8691457546815052
2018-ausopen-XD108,,1,5,4,0,4,0,25,2,2,179,,15,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,40,40,-0.19033564778145454,0.6817715696873292
2018-ausopen-XD108,,1,5,4,0,4,0,26,2,2,184,,0,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,7,6,40,A,-0.32306012657509386,0.7667973592931427
2018-ausopen-XD108,,1,5,5,0,5,0,27,2,1,192,,0,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,7,6,0,0,-0.24603246901362377,0.7000500446751265
2018-ausopen-XD108,,1,5,5,0,5,0,28,2,1,160,,0,30,,,,,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,7,6,0,15,-0.4855543267276622,0.9551370115265189
2018-ausopen-XD108,,1,5,5,0,5,0,29,2,1,179,,0,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,7,6,0,30,-0.5420481864870419,1.059717845240747
2018-ausopen-XD108,,1,5,5,0,5,0,30,1,1,186,,15,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,7,6,15,30,-0.45177910495527934,1.0386230266271246
