match_id,elapsed_time,set_no,p1_games,p2_games,set_victor,game_no,game_victor,point_no,point_victor,server,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,p1_sets,p2_sets,p1_score,p2_score
2018-ausopen-XD101,,1,1,2,0,5,0,26,2,1,165,,40,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,0,0,40,A
2018-ausopen-XD101,,1,1,2,0,5,0,27,1,1,171,,0,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,0,0,A,A
2018-ausopen-XD101,,1,1,2,0,6,0,28,1,2,157,,15,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,0,0,A,A
2018-ausopen-XD101,,1,1,2,0,6,0,29,2,2,185,,15,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,A,A
2018-ausopen-XD101,,1,1,2,0,6,0,30,1,2,157,,30,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,0,0,A,A
2018-ausopen-XD101,,1,1,2,0,6,0,31,2,2,145,,30,30,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,0,0,A,A
2018-ausopen-XD101,,1,1,2,0,6,0,32,2,2,194,,30,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,A,A
2018-ausopen-XD101,,1,1,3,0,6,2,33,2,2,197,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,0,0
2018-ausopen-XD101,,1,1,3,0,7,0,34,1,1,135,,15,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,15,0
2018-ausopen-XD101,,1,1,3,0,7,0,35,2,1,151,,15,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,0,15,15
2018-ausopen-XD101,,1,1,3,0,7,0,36,1,1,157,,30,15,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,0,0,30,15
2018-ausopen-XD101,,1,1,3,0,7,0,37,2,1,152,,30,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,,,,0,0,30,30
2018-ausopen-XD101,,1,1,3,0,7,0,38,1,1,131,,40,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,40,30
2018-ausopen-XD101,,1,1,3,0,7,0,39,2,1,141,,40,40,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,0,40,40
2018-ausopen-XD101,,1,1,3,0,7,0,40,2,1,156,,0,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,0,40,A
2018-ausopen-XD101,,1,1,4,0,8,0,41,2,2,115,,0,15,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,0,0
2018-ausopen-XD101,,1,1,4,0,8,0,42,2,2,138,,0,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,0,15
2018-ausopen-XD101,,1,1,4,0,8,0,43,1,2,115,,15,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,0,0,15,15
2018-ausopen-XD101,,1,1,4,0,8,0,44,2,2,156,,15,40,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,15,30
2018-ausopen-XD101,,1,1,4,0,8,0,45,2,2,144,,0,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,15,40
2018-ausopen-XD101,,1,1,4,0,9,0,46,1,1,154,,15,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,0,0,30,40
2018-ausopen-XD101,,1,1,5,0,9,0,47,2,1,154,,15,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,,,,0,0,0,0
2018-ausopen-XD101,,1,1,5,0,9,0,48,1,1,140,,30,15,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,0,0,15,0
2018-ausopen-XD101,,1,1,5,0,9,0,49,1,1,180,,40,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,30,0
2018-ausopen-XD101,,1,1,5,0,9,0,50,1,1,163,,0,0,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,0,0,40,0
2018-ausopen-XD101,,1,2,5,0,10,0,51,1,2,186,,15,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,0,0,0,0
2018-ausopen-XD101,,1,2,5,0,10,0,52,1,2,147,,30,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,0,0,15,0
2018-ausopen-XD101,,1,2,5,0,10,0,53,1,2,182,,40,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,0,30,0
2018-ausopen-XD101,,1,2,5,0,10,0,54,2,2,189,,40,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,30,15
2018-ausopen-XD101,,1,2,5,0,10,0,55,2,2,180,,40,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,11,,,,0,0,30,30
2018-ausopen-XD101,,1,2,5,0,10,0,56,2,2,180,,40,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,30,40
2018-ausopen-XD101,,1,0,0,2,10,0,57,2,2,181,,0,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,1,0,0
2018-ausopen-XD101,,2,0,0,0,11,0,58,1,1,159,,15,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,1,15,0
2018-ausopen-XD101,,2,0,0,0,11,0,59,1,1,182,,30,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,1,30,0
2018-ausopen-XD101,,2,0,0,0,11,0,60,1,1,124,,40,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,1,40,0
2018-ausopen-XD101,,2,1,0,0,11,1,61,1,1,179,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,1,0,0
2018-ausopen-XD101,,2,1,0,0,12,0,62,1,2,137,,15,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,1,15,0
2018-ausopen-XD101,,2,1,0,0,12,0,63,2,2,121,,15,15,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,1,15,15
2018-ausopen-XD101,,2,1,0,0,12,0,64,1,2,117,,30,15,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,0,1,30,15
2018-ausopen-XD101,,2,1,0,0,12,0,65,2,2,119,,30,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,0,1,30,30
2018-ausopen-XD101,,2,1,0,0,12,0,66,2,2,165,,30,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,1,30,40
2018-ausopen-XD101,,2,1,1,0,12,2,67,2,2,148,,0,0,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,0,1,0,0
2018-ausopen-XD101,,2,1,1,0,13,0,68,1,1,126,,15,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,0,1,15,0
2018-ausopen-XD101,,2,1,1,0,13,0,69,1,1,149,,30,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,1,30,0
2018-ausopen-XD101,,2,1,1,0,13,0,70,1,1,147,,40,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,1,40,0
2018-ausopen-XD101,,2,1,1,0,13,0,71,2,1,126,,40,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,0,1,40,15
2018-ausopen-XD101,,2,2,1,0,13,1,72,1,1,133,,0,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,0,1,0,0
